Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,59.299999,60.000000,59.080002,59.860001,33.639259,18724900
2010-01-08,59.790001,61.980000,59.669998,61.730000,34.690132,27157200
2010-01-15,61.619999,62.380001,59.130001,59.570000,33.476288,21106400
2010-01-22,58.770000,59.099998,56.959999,57.330002,32.217491,28050300
2010-01-29,57.080002,57.380001,53.439999,53.480000,30.053925,49023800
2010-02-05,53.110001,54.860001,52.099998,54.799999,30.795702,39368100
2010-02-12,54.139999,56.139999,53.919998,54.740002,30.761993,30305900
2010-02-19,53.689999,54.619999,52.000000,52.889999,30.175398,32380500
2010-02-26,52.650002,55.470001,52.500000,55.090000,31.430573,29617700
2010-03-05,55.400002,56.650002,55.290001,56.599998,32.292068,26147500
2010-03-12,56.689999,58.490002,56.070000,58.150002,33.176388,27375300
2010-03-19,57.689999,58.240002,56.509998,56.529999,32.252125,29283600
2010-03-26,56.490002,58.070000,56.330002,57.740002,32.942474,31034100
2010-04-02,58.270000,59.419998,58.000000,58.970001,33.644226,18505700
2010-04-09,59.119999,60.980000,58.709999,60.570000,34.557068,25394900
2010-04-16,60.410000,60.700001,58.810001,59.549999,33.975140,24943600
2010-04-23,58.849998,59.910000,51.880001,52.560001,29.987131,131372100
2010-04-30,52.430000,53.380001,47.349998,50.330002,28.714838,353680000
2010-05-07,49.750000,50.320000,47.860001,48.099998,27.442551,124532800
2010-05-14,47.169998,47.560001,43.959999,44.580002,25.434277,148414000
2010-05-21,43.750000,45.570000,40.610001,45.380001,25.890709,183458100
2010-05-28,43.639999,43.840000,36.200001,39.270000,22.404764,332590900
2010-06-04,38.500000,38.990002,29.000000,32.779999,18.702017,665477600
2010-06-11,34.049999,34.459999,29.580000,31.709999,18.091547,758059100
2010-06-18,32.529999,32.529999,28.559999,28.740000,16.397066,361690800
2010-06-25,27.770000,30.420000,26.750000,29.389999,16.767912,362500800
2010-07-02,29.879999,33.900002,28.990000,33.740002,19.249725,182916500
2010-07-09,33.279999,39.810001,32.119999,38.919998,22.205072,327568000
2010-07-16,38.520000,38.540001,34.580002,36.230000,20.670345,203781200
2010-07-23,36.619999,39.000000,36.169998,38.470001,21.948338,121458900
2010-07-30,38.090000,40.750000,38.029999,40.680000,23.209211,106444500
2010-08-06,41.070000,41.590000,37.490002,38.380001,21.896994,88565600
2010-08-13,37.779999,39.570000,36.180000,36.240002,20.676058,66101600
2010-08-20,35.869999,36.910000,34.160000,35.419998,20.208214,63047900
2010-08-27,35.400002,36.570000,34.500000,36.570000,20.864326,44149900
2010-09-03,36.709999,38.669998,36.709999,38.020000,21.691603,38025700
2010-09-10,37.939999,38.849998,37.770000,38.270000,21.834229,36384500
2010-09-17,38.160000,38.990002,37.490002,38.130001,21.754356,37414300
2010-09-24,38.250000,41.299999,37.860001,41.169998,23.488766,72829900
2010-10-01,41.939999,42.080002,40.730000,41.520000,23.688456,52778600
2010-10-08,41.500000,41.980000,40.549999,41.020000,23.403189,33478700
2010-10-15,40.919998,41.740002,40.380001,40.650002,23.192097,44305700
2010-10-22,40.570000,41.349998,39.580002,40.599998,23.163557,48925100
2010-10-29,40.560001,43.950001,40.450001,43.910000,25.052017,53926900
2010-11-05,43.560001,44.369999,42.689999,43.680000,24.920803,54622300
2010-11-12,43.349998,43.650002,41.320000,42.209999,24.082125,35741000
2010-11-19,41.669998,42.029999,40.700001,41.470001,23.659927,27504000
2010-11-26,40.950001,41.419998,39.759998,41.320000,23.574350,45281700
2010-12-03,41.459999,43.610001,41.040001,42.790001,24.413034,40981300
2010-12-10,42.910000,44.830002,42.889999,43.750000,24.960741,57546000
2010-12-17,43.580002,44.110001,43.160000,44.000000,25.103371,28523800
2010-12-24,43.980000,44.200001,43.430000,43.889999,25.040625,16269500
2010-12-31,43.869999,47.369999,43.720001,46.230000,26.375662,62494200
2011-01-07,46.000000,48.299999,45.160000,47.540001,27.123060,52266200
2011-01-14,47.560001,49.500000,46.799999,47.570000,27.140175,72888600
2011-01-21,48.029999,48.340000,46.250000,46.680000,26.632402,52409800
2011-01-28,46.480000,48.090000,45.830002,46.580002,26.575342,63014900
2011-02-04,46.349998,46.900002,45.560001,45.930000,26.204498,38957800
2011-02-11,45.500000,48.279999,45.459999,48.099998,27.691116,50369000
2011-02-18,48.090000,48.230000,46.900002,47.380001,27.276613,41382600
2011-02-25,47.560001,48.660000,47.450001,48.209999,27.754438,32781000
