Date,Open,High,Low,Close,Adj Close,Volume
2020-08-27,16.389999,16.400000,15.870000,15.990000,15.990000,3972700
2020-08-28,16.150000,16.260000,16.059999,16.190001,16.190001,2288500
2020-08-31,16.280001,16.290001,16.020000,16.049999,16.049999,2946200
2020-09-01,16.139999,16.219999,15.970000,16.059999,16.059999,4196700
2020-09-02,15.960000,16.020000,15.760000,15.820000,15.820000,3756600
2020-09-03,15.450000,15.700000,15.310000,15.430000,15.430000,5039700
2020-09-04,15.580000,15.650000,15.320000,15.480000,15.480000,3004500
2020-09-08,14.970000,15.080000,14.770000,14.910000,14.910000,3844000
2020-09-09,15.440000,15.600000,15.340000,15.520000,15.520000,2732200
2020-09-10,15.810000,15.860000,15.260000,15.270000,15.270000,3734600
2020-09-11,15.550000,15.690000,15.450000,15.620000,15.620000,3187600
2020-09-14,15.550000,15.690000,15.440000,15.580000,15.580000,3066600
2020-09-15,15.790000,15.890000,15.710000,15.770000,15.770000,2332300
2020-09-16,15.860000,16.090000,15.750000,15.900000,15.900000,3065800
2020-09-17,15.830000,15.980000,15.750000,15.980000,15.980000,2235700
2020-09-18,15.780000,15.960000,15.670000,15.730000,15.730000,2989800
2020-09-21,15.230000,15.290000,14.960000,15.130000,15.130000,2724500
2020-09-22,15.320000,15.420000,14.970000,15.020000,15.020000,2524300
