Date,Open,High,Low,Close,Adj Close,Volume
2013-05-10,123.379997,125.000000,122.110001,122.760002,90.514153,47917800
2013-05-17,122.739998,126.980003,122.269997,125.400002,93.206345,36293900
2013-05-24,124.500000,127.400002,124.330002,125.110001,92.990814,22967500
2013-05-31,124.639999,125.300003,118.660004,120.589996,89.631233,40724500
2013-06-07,121.220001,122.980003,119.610001,121.660004,90.426537,26369300
2013-06-14,121.129997,122.379997,117.570000,117.949997,87.668991,25265400
2013-06-21,119.239998,119.540001,116.019997,118.709999,88.233856,32741000
2013-06-28,118.790001,120.330002,118.000000,119.080002,88.508873,19504200
2013-07-05,119.690002,124.540001,119.099998,123.769997,91.994820,28388200
2013-07-12,123.519997,125.650002,123.040001,125.470001,93.258385,21638600
2013-07-19,125.790001,127.830002,125.169998,127.760002,94.960480,22743500
2013-07-26,127.029999,127.620003,125.190002,126.440002,93.979355,24599700
2013-08-02,124.870003,125.099998,121.910004,123.070000,91.474548,25421800
2013-08-09,123.120003,123.230003,120.000000,120.250000,89.378510,27347900
2013-08-16,119.889999,120.190002,117.220001,118.290001,88.648010,24129300
2013-08-23,118.690002,122.360001,118.070000,120.370003,90.206810,26749100
2013-08-30,120.519997,121.669998,119.940002,121.370003,90.956230,15858900
2013-09-06,121.529999,124.620003,119.010002,123.889999,92.844742,25698500
2013-09-13,123.980003,126.430000,123.809998,125.440002,94.006325,23567700
2013-09-20,125.660004,126.230003,123.019997,123.489998,92.544983,31334700
2013-09-27,123.230003,123.260002,117.930000,118.250000,88.618034,31746400
2013-10-04,118.500000,118.540001,114.440002,116.379997,87.216644,38954800
2013-10-11,116.570000,119.720001,115.930000,119.519997,89.569786,28609300
2013-10-18,119.610001,121.000000,119.129997,120.559998,90.349205,26186700
2013-10-25,120.589996,122.010002,119.830002,119.959999,89.899551,26764300
2013-11-01,119.040001,121.879997,117.000000,119.910004,89.862076,41142200
2013-11-08,119.669998,121.500000,119.190002,119.559998,89.599777,33355700
2013-11-15,119.779999,123.599998,119.129997,123.459999,93.299408,26144100
2013-11-22,123.540001,124.190002,121.639999,122.419998,92.513474,16316900
2013-11-29,122.830002,123.300003,120.709999,121.099998,91.515938,23613800
2013-12-06,122.050003,123.940002,120.570000,120.989998,91.432777,32019400
2013-12-13,120.440002,123.400002,118.250000,123.220001,93.118042,34143600
2013-12-20,122.820000,124.989998,122.400002,124.809998,94.319603,18520600
2013-12-27,125.000000,125.650002,123.709999,124.139999,93.813263,16159700
2014-01-03,124.599998,125.320000,122.019997,123.290001,93.170929,26247600
2014-01-10,122.500000,122.839996,118.190002,118.830002,89.800468,32406700
2014-01-17,119.029999,120.889999,118.260002,118.389999,89.467964,23985300
2014-01-24,117.870003,118.139999,115.180000,116.449997,88.001915,28638900
2014-01-31,113.900002,113.900002,109.269997,111.269997,84.087334,55062200
2014-02-07,111.910004,113.870003,110.389999,112.510002,85.024406,34681500
2014-02-14,112.580002,115.330002,111.589996,114.599998,87.373116,29279800
2014-02-21,114.720001,115.860001,112.599998,115.690002,88.204155,33571500
2014-02-28,115.870003,116.739998,114.010002,114.849998,87.563705,30485600
2014-03-07,115.070000,116.360001,114.120003,114.449997,87.258736,29750900
2014-03-14,114.360001,116.739998,113.680000,115.510002,88.066910,29354300
2014-03-21,116.290001,118.279999,115.580002,117.669998,89.713707,37049700
2014-03-28,118.129997,119.790001,117.699997,119.040001,90.758247,25701200
2014-04-04,119.750000,119.750000,116.550003,116.690002,88.966560,29394400
2014-04-11,116.500000,123.849998,116.500000,123.680000,94.295868,37410300
2014-04-18,123.050003,124.959999,123.050003,124.300003,94.768562,22981900
2014-04-25,124.230003,127.269997,123.580002,124.940002,95.256508,32634000
2014-05-02,123.900002,126.779999,123.580002,125.089996,95.370872,25676300
2014-05-09,125.389999,126.779999,123.550003,123.809998,94.394966,25056900
2014-05-16,123.959999,124.410004,122.239998,123.629997,95.062340,22543200
