Date,Open,High,Low,Close,Adj Close,Volume
2020-08-27,40.000000,40.299999,39.310001,39.740002,39.740002,32034300
2020-08-28,39.840000,40.919998,39.759998,40.689999,40.689999,33477100
2020-08-31,40.639999,40.720001,39.900002,39.939999,39.939999,25259600
2020-09-01,39.750000,39.750000,39.049999,39.430000,39.430000,22478200
2020-09-02,39.230000,39.720001,38.950001,39.189999,39.189999,26413400
2020-09-03,39.200001,40.029999,38.880001,39.110001,39.110001,28817200
2020-09-04,39.459999,39.790001,38.650002,39.080002,39.080002,24632500
2020-09-08,38.250000,38.680000,37.349998,38.180000,38.180000,38496400
2020-09-09,38.349998,38.840000,37.919998,37.950001,37.950001,25886100
2020-09-10,38.270000,38.369999,36.900002,37.000000,37.000000,34381200
2020-09-11,37.130001,37.310001,36.490002,36.900002,36.900002,26838600
2020-09-14,36.910000,37.009998,36.490002,36.660000,36.660000,26129900
2020-09-15,36.799999,37.380001,36.209999,36.270000,36.270000,23724200
2020-09-16,36.459999,38.150002,36.270000,37.810001,37.810001,30890900
2020-09-17,37.349998,37.980000,36.970001,37.799999,37.799999,24696200
2020-09-18,37.529999,37.820000,36.700001,37.189999,37.189999,46853800
2020-09-21,36.430000,36.709999,35.680000,36.430000,36.430000,35351800
