Date,Open,High,Low,Close,Adj Close,Volume
2020-08-27,85.160004,85.629997,83.970001,84.910004,84.910004,7438200
2020-08-28,85.050003,85.730003,84.320000,85.629997,85.629997,7307900
2020-08-31,85.830002,85.900002,83.870003,83.930000,83.930000,9437500
2020-09-01,83.260002,83.629997,82.449997,83.080002,83.080002,8997200
2020-09-02,83.059998,83.959999,82.699997,83.190002,83.190002,10821900
2020-09-03,83.050003,84.489998,81.709999,82.279999,82.279999,16179900
2020-09-04,82.459999,83.639999,80.900002,81.930000,81.930000,10516600
2020-09-08,80.500000,80.580002,78.040001,78.970001,78.970001,14942500
2020-09-09,79.970001,81.070000,79.680000,80.029999,80.029999,9269800
2020-09-10,80.629997,80.889999,78.050003,78.150002,78.150002,11845900
2020-09-11,78.239998,78.690002,77.070000,77.690002,77.690002,13732400
2020-09-14,77.480003,77.980003,76.919998,77.290001,77.290001,8182800
2020-09-15,77.559998,78.480003,75.959999,76.349998,76.349998,11732000
2020-09-16,76.349998,79.480003,75.959999,78.559998,78.559998,13019000
2020-09-17,77.529999,78.849998,76.370003,78.790001,78.790001,10515100
2020-09-18,77.879997,79.150002,77.500000,78.209999,78.209999,14517800
2020-09-21,76.239998,76.650002,74.680000,76.300003,76.300003,16199100
2020-09-22,76.150002,77.529999,75.349998,75.529999,75.529999,9155000
